"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"PACKAGE";"PRICE";"PROD_ID";"SF_SKU";"VALUE";
"1";"";"M04LOCK";"1X04_LOCK";"JP2";"Header 4";"";"";"";"";"";"";"";"";"";
"1";"";"PINHD-2X3";"2X03";"JP1";"PIN HEADER";"";"";"";"";"";"";"";"";"";
"2";"0.1uF";"CAP0603-CAP";"0603-CAP";"C1, C3";"Capacitor";"";"";"";"";"";"";"";"";"";
"1";"10K";"330OHM-0603-1/10W-1%";"0603";"R8";"330Ω resistor";"";"";"";"";"";"";"RES-00818";"";"330";
"1";"1k";"1KOHM-0603-1/10W-1%";"0603";"R6";"1kΩ resistor";"";"";"";"";"";"";"RES-07856";"";"1k";
"2";"2.2K";"4.7KOHM-0603-1/10W-1%";"0603";"R1, R7";"4.7kΩ resistor";"";"";"";"";"";"";"RES-07857";"";"4.7k";
"2";"20pF";"CAP0603-CAP";"0603-CAP";"C4, C5";"Capacitor";"";"";"";"";"";"";"";"";"";
"1";"3.6864Mhz";"CRYSTALSMD";"HC49UP";"Y1";"Crystals";"";"";"";"";"";"";"";"";"";
"1";"4P-2.0-90D";"GROVE-CONNECTOR-DIP-90D(4P-2.0)";"HW4-2.0-90D";"J1";"320110034";"";"";"";"";"";"";"";"";"4P-2.0-90D";
"1";"ATMEGA328P-AU";"ATMEGA328P-AU";"QFP80P900X900X120-32N";"U1";"ATmega Series 20 MHz 32 KB Flash 2 KB SRAM 8-Bit Microcontroller - TQFP-32";"Unavailable";" Microcontroller Mcu, 8 Bit, Atmega, 20mhz, Tqfp-32 ";"Microchip";"ATMEGA328P-AU";"TQFP-32 Microchip";"None";"";"";"";
"1";"JOYSTICK_THUMB";"JOYSTICK_THUMB";"JOYSTICK";"S1";"Analog Thumb Joystick";"";"";"";"";"";"";"COMP-09744";"COM-09032";"";
"1";"JUMPER-SMT_3_2-NC_TRACE_NO-SILK";"JUMPER-SMT_3_2-NC_TRACE_NO-SILK";"SMT-JUMPER_3_2-NC_TRACE_NO-SILK";"JP7";"Normally closed trace jumper (2 of 2 connections)";"";"";"";"";"";"";"";"";"";
"1";"RED";"LED-RED0603";"LED-0603";"D1";"Red SMD LED";"";"";"";"";"";"";"DIO-00819";"";"RED";
"4";"SWITCH-MOMENTARY-212MM";"SWITCH-MOMENTARY-212MM";"TACTILE-PTH-12MM";"S2, S3, S4, S5";"";"";"";"";"";"";"";"";"";"";
